age,default,housing,loan,duration,campaign,pdays,previous,emp_var_rate,euribor3m,nr_employed
59,0.0,0.0,0.0,579,2,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,165,2,999,0,1.1,,5191.0
37,,1.0,1.0,163,2,999,0,1.1,4857.0,5191.0
40,,0.0,0.0,46,1,999,0,1.1,4857.0,5191.0
42,,0.0,0.0,559,3,999,0,1.1,4857.0,5191.0
39,,0.0,0.0,2033,1,999,0,1.1,,5191.0
37,0.0,0.0,0.0,85,1,999,0,1.1,,5191.0
38,0.0,1.0,1.0,506,1,999,0,1.1,4857.0,5191.0
56,,0.0,0.0,114,2,999,0,1.1,4857.0,5191.0
40,0.0,0.0,0.0,114,2,999,0,1.1,4857.0,5191.0
54,0.0,1.0,0.0,843,2,999,0,1.1,4857.0,5191.0
38,,0.0,1.0,181,1,999,0,1.1,4857.0,5191.0
36,,0.0,0.0,427,1,999,0,1.1,4857.0,5191.0
45,0.0,1.0,1.0,292,1,999,0,1.1,4857.0,5191.0
42,,0.0,0.0,192,1,999,0,1.1,4857.0,5191.0
43,0.0,0.0,0.0,93,3,999,0,1.1,,5191.0
46,0.0,0.0,0.0,128,2,999,0,1.1,4857.0,5191.0
44,0.0,1.0,1.0,107,1,999,0,1.1,4857.0,5191.0
51,0.0,0.0,0.0,303,2,999,0,1.1,4857.0,5191.0
28,0.0,1.0,0.0,81,1,999,0,1.1,4857.0,5191.0
37,0.0,0.0,0.0,270,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,228,1,999,0,1.1,4857.0,5191.0
46,,1.0,0.0,240,1,999,0,1.1,,5191.0
42,0.0,1.0,1.0,673,2,999,0,1.1,,5191.0
36,0.0,1.0,0.0,233,3,999,0,1.1,4857.0,5191.0
38,,0.0,0.0,102,1,999,0,1.1,4857.0,5191.0
57,0.0,0.0,0.0,461,1,999,0,1.1,4857.0,5191.0
51,,0.0,0.0,250,1,999,0,1.1,4857.0,5191.0
54,,0.0,0.0,130,1,999,0,1.1,,5191.0
49,,0.0,0.0,252,1,999,0,1.1,4857.0,5191.0
40,,1.0,0.0,683,2,999,0,1.1,4857.0,5191.0
43,0.0,1.0,0.0,1077,1,999,0,1.1,4857.0,5191.0
33,0.0,0.0,0.0,146,2,999,0,1.1,4857.0,5191.0
32,0.0,0.0,0.0,167,1,999,0,1.1,4857.0,5191.0
39,0.0,1.0,0.0,356,2,999,0,1.1,,5191.0
43,0.0,0.0,0.0,277,1,999,0,1.1,4857.0,5191.0
44,0.0,1.0,0.0,172,1,999,0,1.1,4857.0,5191.0
35,,0.0,0.0,218,1,999,0,1.1,,5191.0
35,,1.0,1.0,217,1,999,0,1.1,4857.0,5191.0
35,0.0,0.0,0.0,67,1,999,0,1.1,4857.0,5191.0
36,0.0,0.0,0.0,291,1,999,0,1.1,4857.0,5191.0
35,,1.0,0.0,248,1,999,0,1.1,4857.0,5191.0
36,0.0,1.0,0.0,256,1,999,0,1.1,,5191.0
55,0.0,0.0,0.0,286,1,999,0,1.1,,5191.0
59,0.0,0.0,0.0,477,1,999,0,1.1,4857.0,5191.0
57,,0.0,0.0,611,2,999,0,1.1,4857.0,5191.0
39,,1.0,0.0,471,1,999,0,1.1,4857.0,5191.0
39,,1.0,0.0,381,2,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,251,1,999,0,1.1,4857.0,5191.0
30,0.0,1.0,1.0,408,1,999,0,1.1,4857.0,5191.0
50,,0.0,0.0,287,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,322,3,999,0,1.1,4857.0,5191.0
35,0.0,1.0,0.0,216,2,999,0,1.1,,5191.0
43,,0.0,0.0,366,2,999,0,1.1,4857.0,5191.0
36,,1.0,0.0,210,1,999,0,1.1,,5191.0
46,,1.0,0.0,288,1,999,0,1.1,4857.0,5191.0
40,0.0,0.0,0.0,168,1,999,0,1.1,4857.0,5191.0
58,0.0,0.0,0.0,132,1,999,0,1.1,4857.0,5191.0
42,0.0,0.0,0.0,64,2,999,0,1.1,4857.0,5191.0
35,0.0,0.0,0.0,209,2,999,0,1.1,4857.0,5191.0
38,,0.0,0.0,410,3,999,0,1.1,4857.0,5191.0
45,0.0,1.0,1.0,177,1,999,0,1.1,,5191.0
38,0.0,1.0,0.0,580,2,999,0,1.1,4857.0,5191.0
50,0.0,1.0,0.0,165,1,999,0,1.1,,5191.0
32,,1.0,0.0,127,2,999,0,1.1,4857.0,5191.0
39,,0.0,0.0,357,1,999,0,1.1,,5191.0
38,,0.0,0.0,175,1,999,0,1.1,,5191.0
44,0.0,1.0,0.0,300,1,999,0,1.1,,5191.0
56,0.0,0.0,0.0,136,1,999,0,1.1,,5191.0
48,0.0,0.0,0.0,125,2,999,0,1.1,,5191.0
33,,0.0,1.0,189,2,999,0,1.1,4857.0,5191.0
38,,0.0,1.0,213,3,999,0,1.1,4857.0,5191.0
57,0.0,0.0,0.0,238,2,999,0,1.1,,5191.0
36,0.0,0.0,0.0,124,1,999,0,1.1,,5191.0
34,0.0,1.0,0.0,18,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,730,2,999,0,1.1,,5191.0
30,,0.0,0.0,40,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,181,2,999,0,1.1,4857.0,5191.0
32,0.0,0.0,0.0,79,1,999,0,1.1,,5191.0
36,0.0,1.0,0.0,142,2,999,0,1.1,4857.0,5191.0
36,0.0,0.0,1.0,389,1,999,0,1.1,,5191.0
38,0.0,0.0,0.0,702,1,999,0,1.1,4857.0,5191.0
40,0.0,0.0,0.0,151,1,999,0,1.1,4857.0,5191.0
41,0.0,1.0,0.0,211,1,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,117,1,999,0,1.1,4857.0,5191.0
36,0.0,1.0,0.0,232,3,999,0,1.1,4857.0,5191.0
28,0.0,0.0,0.0,408,2,999,0,1.1,4857.0,5191.0
53,0.0,1.0,1.0,370,3,999,0,1.1,,5191.0
58,,1.0,0.0,179,2,999,0,1.1,4857.0,5191.0
45,0.0,0.0,1.0,46,1,999,0,1.1,,5191.0
43,0.0,1.0,0.0,200,1,999,0,1.1,4857.0,5191.0
33,0.0,0.0,1.0,50,1,999,0,1.1,,5191.0
38,0.0,0.0,1.0,181,1,999,0,1.1,,5191.0
27,0.0,,,119,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,361,1,999,0,1.1,,5191.0
43,0.0,0.0,0.0,73,3,999,0,1.1,4857.0,5191.0
42,0.0,0.0,0.0,67,2,999,0,1.1,4857.0,5191.0
27,0.0,0.0,0.0,350,1,999,0,1.1,4857.0,5191.0
34,0.0,1.0,0.0,150,2,999,0,1.1,,5191.0
31,,0.0,0.0,332,2,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,611,2,999,0,1.1,4857.0,5191.0
40,,0.0,0.0,58,3,999,0,1.1,,5191.0
52,,1.0,0.0,151,1,999,0,1.1,4857.0,5191.0
47,0.0,0.0,0.0,89,2,999,0,1.1,4857.0,5191.0
49,,0.0,0.0,152,1,999,0,1.1,4857.0,5191.0
32,0.0,0.0,0.0,611,2,999,0,1.1,,5191.0
49,,1.0,1.0,110,2,999,0,1.1,4857.0,5191.0
50,,0.0,0.0,463,1,999,0,1.1,,5191.0
34,0.0,0.0,0.0,962,1,999,0,1.1,4857.0,5191.0
55,,0.0,0.0,102,2,999,0,1.1,4857.0,5191.0
47,0.0,0.0,0.0,10,4,999,0,1.1,4857.0,5191.0
51,0.0,0.0,0.0,118,3,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,92,2,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,143,3,999,0,1.1,4857.0,5191.0
53,0.0,0.0,0.0,189,3,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,75,2,999,0,1.1,,5191.0
42,0.0,1.0,0.0,189,2,999,0,1.1,4857.0,5191.0
44,0.0,0.0,0.0,55,2,999,0,1.1,4857.0,5191.0
39,0.0,1.0,0.0,935,3,999,0,1.1,4857.0,5191.0
37,0.0,1.0,1.0,56,2,999,0,1.1,4857.0,5191.0
38,,1.0,0.0,5,2,999,0,1.1,,5191.0
36,0.0,0.0,0.0,225,2,999,0,1.1,4857.0,5191.0
42,0.0,1.0,0.0,125,2,999,0,1.1,4857.0,5191.0
31,0.0,1.0,1.0,286,2,999,0,1.1,4857.0,5191.0
38,,0.0,1.0,206,2,999,0,1.1,4857.0,5191.0
45,0.0,1.0,0.0,164,2,999,0,1.1,4857.0,5191.0
37,0.0,1.0,0.0,98,2,999,0,1.1,4857.0,5191.0
47,0.0,0.0,0.0,446,2,999,0,1.1,4857.0,5191.0
38,0.0,0.0,1.0,742,2,999,0,1.1,4857.0,5191.0
36,0.0,1.0,0.0,120,2,999,0,1.1,4857.0,5191.0
35,0.0,0.0,0.0,122,3,999,0,1.1,,5191.0
38,,0.0,0.0,362,4,999,0,1.1,4857.0,5191.0
38,,0.0,0.0,357,2,999,0,1.1,4857.0,5191.0
50,,0.0,1.0,200,2,999,0,1.1,4857.0,5191.0
59,,0.0,0.0,107,2,999,0,1.1,4857.0,5191.0
43,0.0,1.0,0.0,267,2,999,0,1.1,4857.0,5191.0
42,0.0,1.0,0.0,248,2,999,0,1.1,4857.0,5191.0
40,,1.0,0.0,215,2,999,0,1.1,4857.0,5191.0
46,,0.0,0.0,209,2,999,0,1.1,4857.0,5191.0
57,0.0,1.0,1.0,205,2,999,0,1.1,4857.0,5191.0
42,0.0,1.0,0.0,261,3,999,0,1.1,,5191.0
41,0.0,1.0,0.0,83,2,999,0,1.1,4857.0,5191.0
40,,0.0,0.0,199,3,999,0,1.1,4857.0,5191.0
54,0.0,1.0,1.0,196,2,999,0,1.1,,5191.0
38,0.0,0.0,0.0,111,4,999,0,1.1,,5191.0
26,0.0,1.0,0.0,231,3,999,0,1.1,4857.0,5191.0
33,0.0,0.0,0.0,316,3,999,0,1.1,,5191.0
35,,0.0,0.0,240,2,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,669,3,999,0,1.1,,5191.0
29,0.0,1.0,0.0,425,2,999,0,1.1,4857.0,5191.0
36,0.0,1.0,0.0,121,2,999,0,1.1,,5191.0
35,0.0,1.0,0.0,174,5,999,0,1.1,,5191.0
50,0.0,0.0,1.0,88,5,999,0,1.1,4857.0,5191.0
46,,1.0,0.0,313,3,999,0,1.1,4857.0,5191.0
49,0.0,1.0,0.0,135,4,999,0,1.1,4857.0,5191.0
42,,1.0,0.0,152,2,999,0,1.1,4857.0,5191.0
36,0.0,1.0,1.0,402,3,999,0,1.1,4857.0,5191.0
55,,1.0,0.0,221,2,999,0,1.1,,5191.0
41,,0.0,0.0,213,2,999,0,1.1,4857.0,5191.0
57,,1.0,0.0,144,3,999,0,1.1,4857.0,5191.0
32,0.0,1.0,0.0,158,3,999,0,1.1,4857.0,5191.0
49,0.0,0.0,0.0,220,3,999,0,1.1,4857.0,5191.0
57,,1.0,0.0,325,2,999,0,1.1,4857.0,5191.0
58,0.0,1.0,0.0,254,2,999,0,1.1,,5191.0
52,0.0,1.0,0.0,503,2,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,680,2,999,0,1.1,4857.0,5191.0
41,,1.0,0.0,421,4,999,0,1.1,4857.0,5191.0
33,0.0,1.0,0.0,130,3,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,164,2,999,0,1.1,4857.0,5191.0
48,,0.0,0.0,174,3,999,0,1.1,4857.0,5191.0
55,0.0,0.0,0.0,113,2,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,195,2,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,347,3,999,0,1.1,4857.0,5191.0
53,0.0,1.0,0.0,208,2,999,0,1.1,,5191.0
43,0.0,0.0,0.0,404,4,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,396,2,999,0,1.1,4857.0,5191.0
32,0.0,0.0,0.0,98,2,999,0,1.1,4857.0,5191.0
33,0.0,0.0,0.0,229,3,999,0,1.1,4857.0,5191.0
58,0.0,1.0,0.0,350,2,999,0,1.1,4857.0,5191.0
38,,0.0,0.0,88,3,999,0,1.1,4857.0,5191.0
57,0.0,1.0,0.0,379,2,999,0,1.1,,5191.0
45,0.0,1.0,0.0,168,3,999,0,1.1,4857.0,5191.0
42,,1.0,0.0,190,3,999,0,1.1,,5191.0
46,0.0,1.0,0.0,158,1,999,0,1.1,4857.0,5191.0
36,0.0,0.0,0.0,210,1,999,0,1.1,,5191.0
38,0.0,1.0,0.0,102,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,306,1,999,0,1.1,4857.0,5191.0
49,,1.0,0.0,64,1,999,0,1.1,,5191.0
56,0.0,0.0,0.0,218,1,999,0,1.1,4857.0,5191.0
37,0.0,0.0,0.0,77,1,999,0,1.1,4857.0,5191.0
37,0.0,0.0,1.0,54,1,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,344,1,999,0,1.1,4857.0,5191.0
22,0.0,1.0,0.0,195,1,999,0,1.1,,5191.0
38,0.0,0.0,0.0,202,1,999,0,1.1,,5191.0
49,0.0,0.0,0.0,286,1,999,0,1.1,4857.0,5191.0
41,0.0,1.0,0.0,278,1,999,0,1.1,4857.0,5191.0
38,0.0,0.0,0.0,189,1,999,0,1.1,4857.0,5191.0
33,0.0,0.0,0.0,83,1,999,0,1.1,4857.0,5191.0
49,0.0,1.0,1.0,18,1,999,0,1.1,4857.0,5191.0
30,0.0,0.0,0.0,184,2,999,0,1.1,4857.0,5191.0
33,0.0,1.0,0.0,235,1,999,0,1.1,4857.0,5191.0
34,0.0,0.0,0.0,290,1,999,0,1.1,4857.0,5191.0
30,,0.0,0.0,133,1,999,0,1.1,4857.0,5191.0
59,,1.0,1.0,318,1,999,0,1.1,4857.0,5191.0
59,,,,437,1,999,0,1.1,4857.0,5191.0
41,0.0,0.0,0.0,402,1,999,0,1.1,4857.0,5191.0
48,,1.0,1.0,501,4,999,0,1.1,4857.0,5191.0
28,,1.0,1.0,1201,1,999,0,1.1,,5191.0
44,0.0,1.0,0.0,1030,1,999,0,1.1,4857.0,5191.0
59,,0.0,0.0,253,1,999,0,1.1,4857.0,5191.0
50,,0.0,0.0,149,1,999,0,1.1,4857.0,5191.0
35,0.0,0.0,0.0,144,1,999,0,1.1,4857.0,5191.0
42,0.0,0.0,0.0,69,1,999,0,1.1,4857.0,5191.0
45,0.0,0.0,0.0,243,1,999,0,1.1,,5191.0
36,0.0,0.0,0.0,769,2,999,0,1.1,4857.0,5191.0
38,,0.0,0.0,135,3,999,0,1.1,,5191.0
29,0.0,0.0,0.0,231,1,999,0,1.1,4857.0,5191.0
41,0.0,1.0,1.0,442,2,999,0,1.1,4857.0,5191.0
38,,0.0,0.0,199,1,999,0,1.1,,5191.0
52,0.0,0.0,0.0,455,1,999,0,1.1,,5191.0
38,,,,152,1,999,0,1.1,4857.0,5191.0
31,,1.0,0.0,124,1,999,0,1.1,4857.0,5191.0
43,,1.0,0.0,424,1,999,0,1.1,4857.0,5191.0
36,,0.0,0.0,43,1,999,0,1.1,,5191.0
42,0.0,1.0,0.0,154,1,999,0,1.1,4857.0,5191.0
52,0.0,0.0,0.0,393,1,999,0,1.1,4857.0,5191.0
39,0.0,1.0,0.0,203,2,999,0,1.1,,5191.0
36,0.0,0.0,1.0,140,2,999,0,1.1,4857.0,5191.0
42,,1.0,0.0,326,1,999,0,1.1,4857.0,5191.0
41,0.0,0.0,0.0,483,1,999,0,1.1,4857.0,5191.0
55,0.0,0.0,1.0,259,1,999,0,1.1,4857.0,5191.0
30,0.0,0.0,0.0,227,1,999,0,1.1,4857.0,5191.0
57,0.0,0.0,0.0,673,1,999,0,1.1,4857.0,5191.0
45,,1.0,0.0,576,1,999,0,1.1,4857.0,5191.0
51,,1.0,1.0,180,2,999,0,1.1,4857.0,5191.0
38,,1.0,1.0,90,1,999,0,1.1,4857.0,5191.0
47,,0.0,0.0,505,1,999,0,1.1,4857.0,5191.0
38,0.0,1.0,0.0,245,1,999,0,1.1,4857.0,5191.0
34,0.0,1.0,0.0,186,1,999,0,1.1,4857.0,5191.0
57,,1.0,0.0,208,1,999,0,1.1,,5191.0
43,0.0,0.0,0.0,623,1,999,0,1.1,,5191.0
49,,0.0,0.0,180,1,999,0,1.1,4857.0,5191.0
39,,0.0,0.0,496,3,999,0,1.1,4857.0,5191.0
38,,1.0,0.0,118,1,999,0,1.1,4857.0,5191.0
49,0.0,0.0,0.0,102,2,999,0,1.1,4857.0,5191.0
58,0.0,0.0,0.0,342,1,999,0,1.1,4857.0,5191.0
43,0.0,1.0,0.0,225,1,999,0,1.1,,5191.0
50,,1.0,0.0,185,3,999,0,1.1,,5191.0
31,,0.0,0.0,276,1,999,0,1.1,4857.0,5191.0
43,0.0,0.0,0.0,87,1,999,0,1.1,4857.0,5191.0
43,,0.0,0.0,744,1,999,0,1.1,,5191.0
30,0.0,1.0,0.0,262,1,999,0,1.1,,5191.0
27,0.0,1.0,1.0,271,1,999,0,1.1,4857.0,5191.0
51,,0.0,0.0,141,1,999,0,1.1,4857.0,5191.0
37,0.0,1.0,0.0,198,2,999,0,1.1,4857.0,5191.0
46,0.0,1.0,0.0,150,1,999,0,1.1,4857.0,5191.0
35,0.0,0.0,0.0,241,1,999,0,1.1,,5191.0
47,0.0,0.0,0.0,196,1,999,0,1.1,,5191.0
